postionInDataBase,	memberNumber,	created,	ParetoRank,	distToRegOfInt,	fitness0,	flowparam0,	flowparam1,	flowparam2,	flowparam3,	scaled_WB.CA,	scaled_WB.SD,	scaled_WB.SH,	scaled_WB.FA,	scaled_WB.FH,	scaled_WB.FW,	scaled_WB.P,	WB.CA,	WB.SD,	WB.SH,	WB.FA,	WB.FH,	WB.FW,	WB.P,	AGdivTime,	AreaGain,	AreaGain_currentObjectives,	MEMBEROPTIMIZATIONFLAG,	MM_fit0,	MM_flowparam0,	MM_flowparam1,	MM_flowparam2,	MMdev_fit0,	MMdev_flowparam0,	MMdev_flowparam1,	MMdev_flowparam2,	MMexpImpr,	MetaModel,	NUOFMEMBEREXPIMPR,	TimeStamp,	UDP_Name,	VarianceExpImpr2ROI,	VarianceMMexpImpr,	cpuSecondsCreated6,	cpuSecondsUDP,	expImpr2ROI,	numbMembCreatedOfBest,	numberWhenCreated,	probOfFullfillROI,	probOfImpROI,	probOfImpr,	remainingProcesses,	secondsCreated6,	secondsUDP,	timeOfProcess0,	timeOfProcess1,	timeOptiOnMMofBest,	timeTraining,	cumulativeVolumeGain,	cumulativeVolumeGain_currentObjectives,	cumTimeTraining,	cumTimeOptiOnMM,	cumTimeUDP,	cumTimeOptiOnMMofBest,	fidelity,	
497,	178,	6,	496,	0,	0.375228,	0.375228,	57.2049,	0.00051438,	0,	0.48752,	0.0846382,	0.661811,	0.185604,	0.653976,	0.0142651,	0.965273,	66.9384,	3.35421,	3.32362,	5.56813,	4.61591,	0.521398,	19.6527,	0,	0,	nan,	666,	0.000243849,	0.000243849,	49.6067,	0.000492088,	0.0677053,	0.0674426,	25.8106,	6.471e-05,	0.00723135,	0,	1000,	1.5065e+09,	nan,	0,	0.000610414,	223.41,	65574.2,	0,	905,	178,	0.28,	0,	0.15,	0,	24.08,	11768.5,	1.0084,	11767.5,	23.98,	nan,	0.742923,	0.736233,	4091.08,	2063.11,	1.72565e+06,	2054.01,	0,	
397,	179,	6,	396,	0,	0.343695,	0.343695,	71.3167,	0.000501011,	0,	0.23555,	0.0739929,	0.0660638,	0.248589,	0.694779,	0.375315,	0.998391,	55.5998,	3.18389,	2.13213,	7.45766,	4.77912,	1.06297,	19.9839,	0,	0,	nan,	666,	0.0437235,	0.0437235,	59.7162,	0.000558118,	0.0483115,	0.0481241,	15.799,	2.51777e-05,	0.0517837,	0,	1000,	1.5065e+09,	nan,	0,	0.00585998,	228.94,	66305.8,	0,	769,	179,	0.82,	0,	0.49,	0,	24.88,	11856,	1.02704,	11855,	24.65,	nan,	0.742923,	0.736233,	4091.08,	2087.99,	1.73751e+06,	2078.66,	0,	
491,	180,	6,	490,	0,	0.363655,	0.363655,	49.4506,	0.000501128,	0,	0.365651,	0.104319,	0.672822,	0.166595,	0.631085,	0.258594,	0.395297,	61.4543,	3.66911,	3.34564,	4.99786,	4.52434,	0.887891,	13.953,	0,	0,	nan,	666,	0.0717283,	0.0717283,	55.487,	0.000559247,	0.0626584,	0.0624153,	19.6369,	2.198e-05,	0.0282922,	0,	1000,	1.5065e+09,	nan,	0,	0.00417209,	168.36,	52661.6,	0,	996,	180,	0.88,	0,	0.26,	0,	15,	9470.09,	1.01312,	9469.07,	14.99,	nan,	0.742923,	0.736233,	4091.08,	2102.99,	1.74698e+06,	2093.65,	0,	
572,	181,	6,	571,	55.6858,	-0.622988,	-0.622988,	-55.0628,	0.00050102,	0,	0.513061,	0.112987,	0.333007,	0.664557,	0.90317,	0.721209,	0.997128,	68.0878,	3.8078,	2.66601,	19.9367,	5.61268,	1.58181,	19.9713,	0,	0,	nan,	666,	0.0621965,	0.0621965,	78.7811,	0.000529892,	0.0918002,	0.091444,	22.2771,	3.43536e-05,	0.00897816,	0,	1000,	1.50651e+09,	nan,	0,	0.000660257,	229.42,	69759.7,	0,	870,	181,	0.65,	0,	0.2,	0,	24.51,	12463,	1.03738,	12462,	24.4,	nan,	0.742923,	0.736233,	4091.08,	2127.5,	1.75944e+06,	2118.05,	0,	
599,	182,	6,	575,	10000,	10001,	9999.12,	9999.12,	9999.12,	1,	0.482514,	0.13963,	0.0614756,	0.940435,	0.61084,	0.883967,	0.983915,	66.7131,	4.23408,	2.12295,	28.213,	4.44336,	1.82595,	19.8392,	0,	0,	nan,	666,	0.0870318,	0.0870318,	58.4636,	0.000530625,	0.11444,	0.113996,	24.9222,	3.93766e-05,	0.046427,	0,	1000,	1.5065e+09,	nan,	0,	0.00454008,	2823.33,	766.25,	0,	949,	182,	0.66,	0,	0.46,	1,	253.88,	663.102,	1.01802,	662.084,	1.96,	251.89,	0.742923,	0.736233,	4342.97,	2129.49,	1.7601e+06,	2120.01,	0,	
210,	183,	6,	210,	0,	0.324019,	0.324019,	74.3194,	0.000500056,	0,	0.220707,	0.0655142,	0.113497,	0.208601,	0.60717,	0.536254,	0.968234,	54.9318,	3.04823,	2.22699,	6.25802,	4.42868,	1.30438,	19.6823,	0,	0,	nan,	666,	0.127701,	0.127701,	56.6509,	0.000523135,	0.106099,	0.105688,	31.4592,	2.36392e-05,	0.0358265,	0,	1000,	1.50651e+09,	nan,	0,	0.003104,	215.38,	66499,	0,	978,	183,	0.83,	0,	0.43,	0,	14.58,	11868.1,	1.00756,	11867.1,	14.57,	nan,	0.742923,	0.736233,	4342.97,	2144.07,	1.77197e+06,	2134.58,	0,	
457,	184,	6,	456,	0,	0.352209,	0.352209,	91.2285,	0.000500006,	0,	0.432488,	0.157359,	0.117994,	0.93436,	0.872999,	0.691411,	0.99049,	64.462,	4.51775,	2.23599,	28.0308,	5.492,	1.53712,	19.9049,	0,	0,	nan,	666,	0.0502739,	0.0502739,	49.6692,	0.000511036,	0.0383438,	0.038195,	10.8973,	1.34708e-05,	0.0792511,	0,	1000,	1.50651e+09,	nan,	0,	0.0056078,	181.09,	68184.5,	0,	960,	184,	0.86,	0,	0.72,	0,	16.09,	12196.4,	1.01101,	12195.4,	16.06,	nan,	0.742923,	0.736233,	4342.97,	2160.16,	1.78417e+06,	2150.64,	0,	
263,	185,	6,	263,	0,	0.329619,	0.329619,	46.1241,	0.000500271,	0,	0.448976,	0.0904676,	0.536463,	0.18275,	0.360562,	0.983126,	0.0673652,	65.2039,	3.44748,	3.07293,	5.48249,	3.44225,	1.97469,	10.6737,	0,	0,	nan,	666,	0.0863508,	0.0863508,	27.7308,	0.000515296,	0.065546,	0.0652916,	16.139,	2.29548e-05,	0.022021,	0,	1000,	1.50651e+09,	nan,	0,	0.00242845,	233.28,	47072.4,	0,	946,	185,	0.77,	0,	0.31,	0,	25.24,	8500.45,	1.02644,	8499.42,	25.18,	nan,	0.742923,	0.736233,	4342.97,	2185.4,	1.79267e+06,	2175.82,	0,	
90,	186,	6,	91,	0,	0.300922,	0.300922,	67.5094,	0.000500137,	0,	0.260995,	0.0974536,	0.526742,	0.102005,	0.00355651,	0.905536,	0.903781,	56.7448,	3.55926,	3.05348,	3.06015,	2.01423,	1.8583,	19.0378,	0,	0,	nan,	666,	0.0795562,	0.0795562,	66.8825,	0.000531053,	0.0649363,	0.0646843,	24.1484,	2.12858e-05,	0.0289558,	0,	1000,	1.50652e+09,	nan,	0,	0.00361712,	234.74,	57312.8,	0,	995,	186,	0.86,	0,	0.34,	0,	25.67,	10357.8,	1.90533,	10355.9,	25.67,	nan,	0.742923,	0.736233,	4342.97,	2211.07,	1.80303e+06,	2201.49,	0,	
334,	187,	6,	334,	0,	0.337578,	0.337578,	53.7126,	0.000500472,	0,	0.282654,	0.0989444,	0.761443,	0.220957,	0.143124,	0.204852,	0.616355,	57.7194,	3.58311,	3.52289,	6.62872,	2.5725,	0.807278,	16.1636,	0,	0,	nan,	666,	0.0572107,	0.0572107,	35.9154,	0.000516641,	0.0597625,	0.0595306,	21.1034,	1.27312e-05,	0.0214508,	0,	1000,	1.50652e+09,	nan,	0,	0.0024056,	177.27,	50614.2,	0,	998,	187,	0.77,	0,	0.31,	0,	15.61,	9117.34,	1.01722,	9116.33,	15.61,	nan,	0.742923,	0.736233,	4342.97,	2226.68,	1.81214e+06,	2217.1,	0,	
